公司名称,搜索结果,名称是否一致,企业电话,企业邮箱,统一社会信用代码,纳税人识别号,注册号,机构代码,法定代表人,企业类型,经营状态,注册资本,成立日期,登记机关,经营期限,所属地区,核准日期,企业地址,经营范围,成员信息,分支机构,股东信息,对外投资,链接
安阳辰宇冶金耐材有限公司,安阳辰宇冶金耐材有限公司,一致,曲沟镇秦小屯村东,无,无,无,410522010005940,783446008,韩龙庆,有限责任公司(自然人投资或控股),注销,500(万元),2002-08-12,安阳县工商行政管理局,2006-01-13 至 2014-08-02,安阳市,2012-10-23,曲沟镇秦小屯村东,加工：硅锰铁、铁合金、耐火材料；销售：焦粒、生铁、钢材*,韩龙庆|执行董事,无,韩龙庆|自然人股东|持股比例：--+王西安|自然人股东|持股比例：--+孟爱生|自然人股东|持股比例：--,无,https://www.qichamao.com/orgcompany/searchitemdtl/5b2a7cb7e1e9ff8817694672ec58fff0.html
陕西宝光真空电器股份有限公司,陕西宝光真空电器股份有限公司,一致,0917-3561172,export@baoguang.com.cn,916103007099018935,916103007099018935,610000100085935,709901893,李军望,股份有限公司(上市),在业,"23,585.826(万)",1997-12-31,宝鸡市工商行政管理局,1997-12-31 至 永续经营,宝鸡市,2017-09-28,陕西省宝鸡市渭滨区宝光路53号,高、中、低压真空电力电器、无线电元器件、器件、材料、高新元件、弹性元件的研制、生产、批发、零售及服务；机械加工；经营本企业自产产品及技术的出口业务、经营本企业生产所需的原辅材料、仪器仪表、机械设备、零配件及技术的进口业务（国家限制或禁止进出口的商品和技术除外）；经营进料加工和“三来一补”业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,朱安柯|董事+王卫国|董事+袁大陆|董事+丁岩林|董事+王冬|董事+李军望|董事长+郭建军|副董事长+原瑞涛|副总经理+段磊|监事+徐德斌|监事+岳永学|监事+胡唯|总经理,陕西宝光真空电器股份有限公司工会委员会,陕西宝光集团有限公司|法人股东|持股比例：50.9259%+宝光真空电器股份有限公司职工持股会|法人股东|持股比例：21.2963%+国投中嘉实业公司|法人股东|持股比例：9.2593%+陕西省技术进步投资有限责任公司|法人股东|持股比例：9.2593%+中国信息信托投资公司|法人股东|持股比例：4.6296%+中国租赁有限公司|法人股东|持股比例：4.6296%,"宝鸡宝光高压电器配件有限公司|袁军为|125.0000(万人民币元)|100%+陕西宝光陶瓷科技有限公司|张军|639.0000(万)|100%+陕西宝光精密陶瓷有限公司|张军|1,600.0000(万)|100%+陕西宝光进出口有限公司|胡唯|1,500.0000(万)|100%+陕西宝光精工电器技术有限公司|袁军为|1,000.0000(万)|100%+陕西宝光新能源科技有限公司|李军望|1000万元人民币|100%+厦门中高智能电器科学研究院有限公司|张建琛|1,000.0000(万人民币)|10%",https://www.qichamao.com/orgcompany/searchitemdtl/2a00cb7b3e64a33de453c2b92f8b765c.html
浙江锐帆电力科技有限公司,浙江锐帆科技有限公司,名称不一致,0570-4554388,ruifan@vip.126.com,91330881760165625C,91330881760165625C,330881000031675,760165625,邵新勇,有限责任公司(自然人独资),存续,"10,000(万人民币)",2004-03-24,江山市市场监督管理局,2004-03-24 至 2034-03-23,江山市,2018-03-15,江山经济开发区城西工业园荷花塘5号,电力变压器及配电设备的研发、生产、销售；网络空间安全产品、计算机系统集成、计算机软硬件、城市应急与综合安保系统、电力设备的研发、测试、销售和技术服务；信息系统安全咨询服务；网络工程施工；货物及技术进出口。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,林广萍|监事+邵新勇|经理+邵新勇|执行董事,无,邵新勇|自然人股东|持股比例：100%,无,https://www.qichamao.com/orgcompany/searchitemdtl/2075015c98fc8e71d0f56dda20d3a2d6.html
中铁二院工程集团有限责任公司,中铁二院工程集团有限责任公司,一致,028-87668866,ztey@creegc.com,915101007302071266,915101007302071266,510100000048798,730207126,赵德义,有限责任公司（非自然人投资或控股的法人独资）,存续,"119,503.77(万人民币)",1994-12-20,成都市工商行政管理局,2007-01-17 至 2079-06-06,成都市,2017-05-17,成都市通锦路三号,承接国内外各行业、各等级的建设工程勘察、设计工程总承包、工程监理、工程咨询、项目管理和技术管理服务；投资咨询评估（不得从事非法集资、吸收公众资金等金融活动）、节能评估；地质灾害防治工程的勘查、设计评估；施工图审查；城乡规划服务；工程造价咨询、环境影响评价、环境污染防治、编制开发建设项目水土保持方案、水文水资源调查评价、防洪除涝技术咨询服务；计算机软件开发、系统集成，信息系统工程、建筑智能化工程、电子电气工程、公共安全防范和技术工程的设计咨询服务，工程设备、器材、构件、材料的研发、研制（仅限分支机构在工业园区内经营）与销售；测绘仪器、钻机的修理，质检技术服务，工程检测，计量鉴定，水工土工化验、测试；铁路旅客运输、铁路货物运输；国家政策允许的商贸经营；货物进出口、技术进出口；相关科学研究及成果转化；期刊出版。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,王刚|董事+李德忠|董事+张文健|董事+朱颖|董事+胡光涛|董事+赵德义|董事长+刘文荣|监事+余霞|监事+王书龙|监事+戴玉民|监事+刘步勇|监事,中铁二院工程集团有限责任公司珠海分公司+中铁二院工程集团有限责任公司郑州分院+中铁二院工程集团有限责任公司沈阳分院+中铁二院工程集团有限责任公司南京分院+中铁二院工程集团有限责任公司上海分公司+中铁二院工程集团有限责任公司南昌分院+中铁二院工程集团有限责任公司驻杭州办事处+中铁二院工程集团有限责任公司济南勘察设计研究院+中铁二院工程集团有限责任公司海南分院+中铁二院工程集团有限责任公司南宁勘察设计研究院,中国中铁股份有限公司|企业法人|持股比例：100%,"中铁二院成都地勘岩土工程有限责任公司|姚毅立|1,500.0000(万人民币)|--+成都铁二院图文印务有限公司|马泽|399.1442(万人民币)|--+中铁二院(成都)置业开发有限责任公司|侯松|10,000.0000(万人民币)|100%+成都亚佳工程新技术开发有限公司|陈列|200.0000(万人民币)|--+四川中铁二院环保科技有限公司|苟定才|1,000.0000(万人民币)|100%+中国华西工程设计建设有限公司|周华|2,000.0000(万人民币)|--+四川华信动力投资管理有限公司|王世军|283.8000(万人民币)|21.58%+中铁二院成都市政工程技术咨询有限责任公司|王宏|500.0000(万人民币)|100%+中铁二院成都勘察设计研究院有限责任公司|王保林|1,666.4500(万元人民币)|100%+中铁二院(成都)咨询监理有限责任公司|叶文林|4,000.0000(万人民币)|100%",https://www.qichamao.com/orgcompany/searchitemdtl/9a91c6118cc044a4c17a8c72f51c0f1d.html
南京欣网通信科技股份有限公司,南京欣网通信科技股份有限公司,一致,025-52368286,officexw@xwtele.com,91320191790421052D,91320191790421052D,320191000003043,790421052,马运山,股份有限公司(非上市),存续,"10,050(万人民币)",2006-08-09,南京市江北新区管理委员会市场监督管理局,2006-08-09 至 永续经营,南京市,2019-05-10,南京市江北新区软件园二号楼A座,因特网信息服务业务；计算机软件、硬件及外围设备、网络设备的设计、开发、销售、技术服务以及应用系统集成；承接通信网络工程及维护、技术服务；通信设备产品（不含地面卫星接受设备）及配套设备的开发、销售、技术服务、工程安装、测试、维护；自营和代理各类商品及技术的进出口业务（国家限定经营或禁止进出口的商品和技术除外）；通信工程；建筑智能化工程；信息系统集成销售及服务；机电工程；装饰装潢工程；计算机网络工程；安防工程的设计与施工；钢结构工程设计与施工；有线广播电视工程的设计、安装、调试及维护；通信网络设备维修；通信基站设施资源租赁服务；劳务派遣；劳务外包；电力工程、输变电工程施工；代收代缴水电费。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,汤江平|董事+葛瑞斌|董事+郑添龙|董事+陶驷|董事兼总经理+马运山|董事长+程华应|监事+吴玉平|监事+黄瑞琦|职工监事,南京欣网通信科技股份有限公司河南分公司+南京欣网通信科技股份有限公司安徽分公司+南京欣网通信科技股份有限公司苏州分公司+南京欣网通信科技股份有限公司重庆分公司+南京欣网通信科技股份有限公司惠州分公司+南京欣网通信科技股份有限公司湖南分公司+南京欣网通信科技股份有限公司广州分公司+南京欣网通信科技股份有限公司连云港分公司+南京欣网通信科技股份有限公司南通分公司+南京欣网通信科技股份有限公司河北分公司,南京德政投资有限公司|有限公司|持股比例：94.9%+南京顺为通信科技有限公司|有限公司|持股比例：3.6%+韩冰冰|境内中国公民|持股比例：1.5%,南京希奥投资管理有限公司|贲道余|200.0000(万元人民币)|38%+南京欣思瑞通信服务有限公司|马运山|500万元人民币|100%,https://www.qichamao.com/orgcompany/searchitemdtl/cc52a84c4a4674d379a42982cb654b1d.html
努比亚技术有限公司,努比亚技术有限公司,一致,0755-86360200,xie.qiang@nubia.com,914403007320587423,914403007320587423,440301102763447,732058742,倪飞,有限责任公司,存续,"11,874.83万元人民币",2001-09-12,南山局,2001-09-12 至 永续经营,深圳市,2019-07-03,深圳市南山区高新区北环大道9018号大族创新大厦A区6-8层、10-11层、B区6层、C区6-10层,"一般经营项目是:通讯产品、手机的研发、销售、维护及提供相关咨询业务(不含专营、专控、专卖商品);研发手机耳机、手机充电器;经营进出口业务(法律、行政法规、国务院决定禁止的项目除外,限制的项目须取得许可后方可经营)。,许可经营项目是:通讯产品、手机的生产、维修,生产手机耳机、手机充电器;组装手机电池。信息服务业务(仅限互联网信息服务业务,增值电信业务经营许可证有效期至2017年11月22日)。","卢少明|董事+米昕|董事+杨洋|董事+周剑波|董事+里强|董事+侯正之|董事+周小平|董事+徐锋|董事长+杨利明|监事+倪飞|总经理,董事",努比亚技术有限公司深业上城店+努比亚技术有限公司驻福州办事处+努比亚技术有限公司售后服务中心,中兴通讯股份有限公司|法人股东|持股比例：49.9%+南京恒勉企业管理合伙企业(有限合伙)|企业法人|持股比例：24.3577%+南昌高新新产业投资有限公司|企业法人|持股比例：15%+遵义市英才致远企业管理咨询有限公司|企业法人|持股比例：6.667%+苏宁易购集团股份有限公司|企业法人|持股比例：4.0752%,"南京中兴移动通信有限公司|里强|1,000.0000(万元人民币)|100%+南京中兴物联科技有限公司|曾勇|6,000.0000(万元人民币)|100%+努比亚技术有限公司深业上城店|陈劲松|0（万元）|--+深圳市中兴移动软件有限公司|倪飞|2000（万元）|100%+努比亚技术有限公司售后服务中心|邓影|0（万元）|--+中兴通讯集团(简称:中兴通讯集团)|--|1211746.2878（万元）|90%+南昌努比亚技术有限公司|里强|4,500.0000(万人民币)|100%+南昌努比亚智联网有限公司|倪飞|1,000.0000(万人民币)|70%",https://www.qichamao.com/orgcompany/searchitemdtl/c6ae0597223214edb8f988adbcf7276a.html
北京智谷睿拓技术服务有限公司,北京智谷睿拓技术服务有限公司,一致,010-60606666,manhui@xiaomi.com,91110108053626744N,91110108053626744N,110108015191853,053626744,许学凤,有限责任公司(自然人投资或控股),在业,"2,000(万人民币)",2012-08-28,北京市工商行政管理局海淀分局,2012-08-28 至 2062-08-27,海淀区,2017-09-01,北京市海淀区小营西路33号1层1F05室,技术开发、技术转让、技术服务、技术咨询；经济贸易咨询；技术进出口。(领取本执照后，应到商务委备案。；企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。),林鹏|监事+许学凤|经理+张宏江|执行董事,无,许学凤|自然人股东|持股比例：100%+田开颜|自然人股东|持股比例：--,北京智谷技术咨询服务有限公司|许学凤|200.0000(万人民币)|--,https://www.qichamao.com/orgcompany/searchitemdtl/52589164e83f57f6694a1a7cb10bbe3e.html
北京百度网讯科技有限公司,北京百度网讯科技有限公司,一致,010-59928888,无,91110000802100433B,91110000802100433B,110108002734659,802100433,梁志祥,有限责任公司(自然人投资或控股),在业,"1,342,128(万人民币)",2001-06-05,北京市工商行政管理局海淀分局,2001-06-05 至 2021-06-04,北京,2019-07-30,北京市海淀区上地十街10号百度大厦2层,技术服务、技术培训、技术推广；设计、开发、销售计算机软件；经济信息咨询；利用www；baidu；com、www；hao123；com(www；hao222；net、www；hao222；com)网站发布广告；设计、制作、代理、发布广告；货物进出口、技术进出口、代理进出口；医疗软件技术开发；委托生产电子产品、玩具、照相器材；销售家用电器、机械设备、五金交电、电子产品、文化用品、照相器材、计算机、软件及辅助设备、化妆品、卫生用品、体育用品、纺织品、服装、鞋帽、日用品、家具、首饰、避孕器具、工艺品、钟表、眼镜、玩具、汽车及摩托车配件、仪器仪表、塑料制品、花、草及观赏植物、建筑材料、通讯设备；预防保健咨询；公园门票、文艺演出、体育赛事、展览会票务代理；翻译服务；通讯设备和电子产品的技术开发；计算机系统服务；因特网信息服务业务（除出版、教育、医疗保健以外的内容）；图书、电子出版物、音像制品批发、零售、网上销售；利用信息网络经营音乐娱乐产品、演出剧（节）目、动漫产品、游戏产品（含网络游戏虚拟货币发行）、表演、网络游戏技法展示或解说（网络文化经营许可证有效期至2020年04月17日）；演出经纪；人才中介服；经营电信业务。（企业依法自主选择经营项目，开展经营活动；演出经纪、人才中介服务、利用信息网络经营音乐娱乐产品、演出剧（节）目、动漫产品、游戏产品（含网络游戏虚拟货币发行）、表演、网络游戏技法展示或解说、经营电信业务以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,韦方|监事+梁志祥|经理+李彦宏|执行董事,北京百度网讯科技有限公司南京分公司+北京百度网讯科技有限公司哈尔滨分公司+北京百度网讯科技有限公司东莞分公司+北京百度网讯科技有限公司佛山分公司+北京百度网讯科技有限公司上海分公司+北京百度网讯科技有限公司西安分公司+北京百度网讯科技有限公司广州分公司+北京百度网讯科技有限公司重庆分公司+北京百度网讯科技有限公司深圳分公司,李彦宏|自然人股东|持股比例：82.4017%+向海龙|自然人股东|持股比例：17.5983%,"华扬联众数字技术股份有限公司|苏同|23,010.2670(万人民币)|2%+上海齐家网信息科技股份有限公司|邓华金|5,026.4583(万人民币)|17.56%+北京百付宝科技有限公司|梁志祥|400,000.0000(万人民币)|42.71%+北京百度网讯科技有限公司深圳分公司|向海龙|0（万元）|--+北京幻想纵横网络技术有限公司|张云帆|39,238.7906(万人民币)|53.56%+沪江教育科技(上海)股份有限公司|伏彩瑞|50,000.0000(万人民币)|17.03%+北京鼎新天下科技有限公司|龚宇|5,000.0000(万人民币)|100%+广东瑞图万方科技股份有限公司|柳宗伟|8,000.0000(万元人民币)|10%+北京长地万方科技有限公司|刘玉亭|17,200.0000(万元人民币)|100%+北京捷通华声科技股份有限公司|张连毅|6,413.5592(万人民币)|1.68%",https://www.qichamao.com/orgcompany/searchitemdtl/00f3d23459b83b57707bacec5a15a959.html
小米科技有限责任公司,小米科技有限责任公司,一致,60606666-1000,chenchongwei@xiaomi.com,91110108551385082Q,91110108551385082Q,110108012660422,551385082,雷军,有限责任公司(自然人投资或控股),在业,"185,000(万人民币)",2010-03-03,北京市工商行政管理局海淀分局,2010-03-03 至 2030-03-02,海淀区,2018-06-20,北京市海淀区清河中街68号华润五彩城购物中心二期13层,技术开发；货物进出口、技术进出口、代理进出口；销售通讯设备、厨房用品、卫生用品（含个人护理用品）、日用杂货、化妆品、医疗器械I类、II类、避孕器具、玩具、体育用品、文化用品、服装鞋帽、钟表眼镜、针纺织品、家用电器、家具（不从事实体店铺经营）、花、草及观赏植物、不再分装的包装种子、照相器材、工艺品、礼品、计算机、软件及辅助设备、珠宝首饰、食用农产品、宠物食品、电子产品、摩托车、电动车、自行车及零部件、智能卡、五金交电（不从事实体店铺经营）、建筑材料（不从事实体店铺经营）；维修仪器仪表；维修办公设备；承办展览展示活动；会议服务；筹备、策划、组织大型庆典；设计、制作、代理、发布广告；摄影扩印服务；文艺演出票务代理、体育赛事票务代理、展览会票务代理、博览会票务代理；手机技术开发；手机生产、手机服务（限海淀区永捷北路2号二层经营）；从事互联网文化活动；出版物零售；出版物批发；销售第三类医疗器械；销售食品；零售药品；广播电视节目制作。（企业依法自主选择经营项目，开展经营活动；从事互联网文化活动、出版物批发、出版物零售、销售食品、广播电视节目制作、零售药品、销售第三类医疗器械以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,林斌|董事+刘芹|董事+许达来|董事+雷军|董事长+黎万强|监事+雷军|经理,小米科技有限责任公司天津南开分公司+小米科技有限责任公司郑州分公司+小米科技有限责任公司重庆分公司+小米科技有限责任公司西安分公司+小米科技有限责任公司苏州分公司+小米科技有限责任公司南京分公司+小米科技有限责任公司济南分公司+小米科技有限责任公司杭州分公司+小米科技有限责任公司武汉分公司+小米科技有限责任公司广州分公司,雷军|自然人股东|持股比例：77.8022%+黎万强|自然人股东|持股比例：10.1213%+洪锋|自然人股东|持股比例：10.0665%+刘德|自然人股东|持股比例：2.01%,"上海迈外迪网络科技有限公司|张程|2,750.5817(万人民币)|11.49%+深圳英鹏信息技术股份有限公司|林军|1263.1579（万元）|24.15%+江苏紫米电子技术有限公司|张峰|13,637.0000(万人民币)|100%+小米科技有限责任公司深圳分公司|马超|0（万元）|--+北京创派力量科技有限公司|丁鹏飞|200.0000(万人民币)|10%+英鹏互娱科技(北京)有限公司|林军|1,000.0000(万人民币)|--+深圳英鹏互娱科技有限公司|林军|222.2222（万元）|20.16%+天津金星创业投资有限公司|Chew Shou Zi|120,000.0000(万元)|100%+成都西米互动科技有限公司|孙锋|200.0000(万人民币)|--+珠海小米金融科技有限公司|洪锋|30,000.0000(万元人民币)|100%",https://www.qichamao.com/orgcompany/searchitemdtl/95fdcd7625a5fe2ed0a704c0021fb682.html
宁波安盾微电子技术有限公司,宁波安盾微电子技术有限公司,一致,13915586344,wangel@innosilicon.com.cn,91330212MA283KAH1W,91330212MA283KAH1W,330212000596013,MA283KAH1,敖海,有限责任公司(自然人投资或控股),存续,"1,500(万人民币)",2016-12-30,宁波市鄞州区市场监督管理局,2016-12-30 至 2046-12-29,鄞州区,2016-12-30,宁波市鄞州区首南街道茶亭庵村李花桥村,集成电路的设计、研发、销售；电子芯片、软件的设计、研发；电子设备的设计、销售；集成电路产品的技术服务；自营或代理货物和技术的进出口，但国家限制经营或禁止进出口的货物和技术除外。,敖钢|监事+敖海|执行董事兼总经理,无,敖海|自然人股东|持股比例：70%+敖钢|自然人股东|持股比例：30%,成都搜蓝科技有限公司|王家政|100.0000(万人民币)|--,https://www.qichamao.com/orgcompany/searchitemdtl/e3d2240feb3d092677facc7c021e9c9e.html
